#{"t_start": 1774617788.4858, "env_id": "None"}
r,l,t
-1.0175455,75,6.410721
-2.2092385,74,6.416885
-1.218128,69,6.421508
1.3643465,75,6.440506
-1.2986776,75,6.443876
-2.7787993,56,6.449086
0.1663211,75,6.450701
-2.8328383,75,6.475199
-1.1432123,73,6.475232
1.1290331,63,6.476194
-2.1420655,75,6.48343
-3.0387654,67,7.246326
-1.0334241,72,7.247244
-1.1402478,65,7.251581
-1.1837461,75,7.258446
-0.9333992,61,7.272259
1.9326766,65,7.275851
-0.50046563,72,7.282495
0.017723143,64,7.282517
-0.31976864,51,7.290749
-0.5364144,54,7.294187
0.9044702,59,7.303021
0.8160549,55,7.324526
0.6286507,47,7.324561
1.3713328,75,7.324567
-2.2510386,75,7.338837
0.068666756,54,7.342333
-0.4602191,48,7.345678
0.51591253,75,7.348955
-0.6671393,75,7.35647
-1.312242,54,7.3705
0.6085573,64,7.379027
-2.2671986,64,7.379056
0.6808378,43,7.381919
-0.22738177,62,7.391956
-0.14374265,72,7.405673
-1.3452346,60,7.410092
-1.0957376,75,7.414978
1.0177305,69,7.431584
-0.10310954,65,7.439349
0.16321617,56,7.441043
-3.7054644,75,7.445119
-1.1697662,75,7.445137
0.6268703,38,7.446933
-2.0670495,66,7.461867
-1.2235155,75,7.474375
-1.2393506,42,7.482136
-0.37013575,56,7.490074
-0.036477804,52,7.492738
-0.27221408,75,7.497203
-2.761198,71,7.502066
3.5391338,75,7.512046
1.8430539,75,7.529118
-0.7452613,44,7.530163
-1.4276001,54,7.531053
0.03809607,46,7.534411
0.7816836,75,7.541088
-2.3568728,50,7.555976
-3.8506613,75,7.563473
-0.5278269,74,7.567247
0.017735958,47,7.58215
0.61427146,66,7.586268
-0.42097262,69,7.594553
1.5628891,75,7.595554
0.23281807,75,7.596575
-3.1742878,49,7.599206
-0.7438381,44,7.602439
0.29356503,63,7.622293
-0.21906191,47,7.638756
-2.2199779,75,7.646331
-0.64206433,65,7.649532
-2.4082146,75,7.650381
-6.149658,75,7.658248
-3.3410568,75,7.659162
-0.11464673,75,7.665256
-1.3963528,60,7.6723
1.1188644,49,7.679849
-1.0948088,54,7.694997
0.64548033,67,7.702495
0.45752198,62,7.702517
-0.9482698,48,7.719962
-2.6180353,73,7.719989
0.38919947,66,7.720917
-2.5385818,75,7.722576
-0.06807184,75,7.735332
-0.9026421,75,7.75915
1.236242,67,7.760124
-1.9857585,75,7.767138
-1.1889712,42,7.773063
-0.32072365,59,7.773093
-1.8058708,61,7.773862
-0.2044745,64,7.776445
-1.4194155,75,7.788357
0.9558957,46,7.799612
0.18170255,38,7.806541
-0.4652961,65,7.816554
-1.4667351,61,7.825657
-4.3509054,69,7.827455
-2.5121312,75,7.838772
-0.49320132,75,7.842336
-0.43287417,75,7.854311
0.291659,66,7.857999
-1.5457132,60,7.859867
-0.43734047,49,7.860797
-0.43633154,42,7.876682
-2.7386503,75,7.893756
-0.03125906,58,7.894605
-3.143906,75,7.89548
-2.647429,57,7.910751
0.21146083,67,7.914691
0.51376814,70,7.92078
0.054266512,75,7.928139
1.1962305,61,7.931084
-0.83330935,49,7.954886
2.4281914,71,7.957276
-0.6967342,75,7.959908
-0.8201752,75,7.961749
-0.27288088,56,7.969999
-1.8625729,72,7.978018
-1.2039173,61,7.984204
-2.4828236,75,7.993704
-0.63000846,51,8.001545
-1.1267085,62,8.013222
-0.41609406,73,8.017509
-0.8616253,53,8.023607
-2.3866189,74,8.025348
-1.5253091,47,8.033586
2.1637306,75,8.034435
-0.95736307,75,8.048095
2.0681388,74,8.064335
3.2511766,65,8.068352
-1.6103053,47,8.073338
2.661845,75,8.080665
0.59008545,75,8.087001
1.0007708,75,8.089033
-3.6458676,75,8.098908
-0.86014795,49,8.106936
-3.1647494,46,8.108658
-0.61436903,75,8.112668
-0.71813816,52,8.131859
-0.21665421,75,8.137816
0.6562284,61,8.14145
1.178899,75,8.146315
-0.24687052,48,8.154256
-2.701057,56,8.155204
-2.1926522,73,8.161878
-5.1663294,70,8.168462
1.5306213,49,8.174626
-0.15980506,54,8.188245
0.6460092,47,8.201978
-0.10175449,55,8.202008
-3.7697294,75,8.202881
-0.3804375,75,8.21077
1.3969128,56,8.21662
-2.8399482,75,8.218403
-0.33254674,73,8.236672
0.51449364,52,8.245905
2.330885,75,8.252232
-0.5200024,59,8.252258
-2.1861646,64,8.257321
-0.8857839,58,8.267485
-1.4741461,68,8.268262
-2.8852699,75,8.280292
-0.50944924,50,8.28914
-2.2923834,75,8.300475
-2.2364302,56,8.304727
0.5989548,67,8.308935
0.3251397,75,8.315899
-1.305779,54,8.326193
-1.5360252,72,8.329749
-3.853058,75,8.331691
-0.14486122,53,8.33419
0.23491466,40,8.35058
-0.01746428,75,8.365265
-4.020667,72,8.367514
0.8094863,67,8.367544
0.2428832,52,8.372103
-3.0353541,70,8.391402
-4.24554,66,8.39231
1.8501084,75,8.398307
-1.2267528,51,8.412574
-0.52346754,46,8.412603
-0.70450604,75,8.416888
-2.3939736,63,8.423461
1.8036966,75,8.431992
-1.8916631,66,8.449545
-0.13508755,59,8.449578
-2.6799502,75,8.458463
0.9610337,59,8.464654
2.699519,68,8.476299
-0.7806387,75,8.477976
0.39068538,61,8.484928
-2.2683737,75,8.488815
0.6469705,53,8.495345
-1.7828723,44,8.496263
-2.0911899,71,8.510352
-0.32083285,69,8.522712
2.669706,56,8.532024
-0.91686404,50,8.537659
-2.7220964,75,8.539574
2.0344718,75,8.541322
-3.1605043,72,8.549119
1.6536458,55,8.55696
1.2908921,75,8.558618
-0.028183043,75,8.587487
-1.396326,61,8.592727
-0.00899893,75,8.596973
-0.08014226,74,8.601958
1.1473488,63,8.603528
-3.3954868,75,8.606377
2.333071,75,8.622006
2.2787843,75,8.623939
-0.018337905,40,8.636744
0.2346456,47,8.644441
-0.7714597,72,8.649875
-3.9321442,68,8.655979
0.04041487,75,8.65795
-2.0499632,75,8.671933
-0.28211182,63,8.676637
-1.1413742,65,8.679922
0.20716184,55,8.684227
-0.7561741,41,8.685081
-2.6613119,56,8.692674
-0.89025164,45,8.694357
-2.4335787,75,8.721844
-0.19673106,48,8.725233
0.9220256,64,8.734827
0.75509953,75,8.735646
-1.2386014,75,8.740659
3.0811992,57,8.741528
-0.97434914,75,8.749317
-0.035958827,75,8.758683
-1.3359149,48,8.762826
-1.3176677,51,8.778773
0.096981645,41,8.783863
-2.1733692,53,8.786248
-4.464802,75,8.788732
0.13357347,59,8.790433
-1.3316844,75,8.798224
-0.16191381,75,8.822279
-2.1543472,75,8.826508
1.2606846,45,8.836698
0.18426913,69,8.837606
-1.4920518,57,8.837621
-0.84049284,75,8.847636
-3.1608145,75,8.850268
0.2863329,75,8.8542
-0.09826863,53,8.882704
0.25446206,71,8.882731
0.23721373,40,8.884489
0.49146444,73,8.889293
-3.3484356,65,8.892534
-0.46440396,50,8.897465
1.1754925,75,8.902081
-0.89093375,65,8.90381
0.45482773,38,8.915923
-0.4898125,37,8.916814
0.27966946,75,8.947998
1.43788,61,8.950608
-1.7746971,58,8.954102
-3.710682,75,8.954127
0.645604,45,8.955129
-3.875388,75,8.957651
-3.5269718,75,8.966342
