#{"t_start": 1766580948.9824572, "env_id": "None"}
r,l,t
-4.487287,18,1.807986
-4.4255605,19,1.812078
-3.610571,18,1.817693
-4.7478595,17,1.823515
-4.0678062,19,1.824809
-3.797224,19,1.824849
-4.387431,21,1.827446
-4.173888,18,1.829741
-4.080987,18,1.829792
-4.2522373,18,1.83295
-3.9394503,18,1.837762
-3.449786,18,1.844458
-4.0717754,20,1.845426
-3.8732624,20,1.846446
-3.8299098,19,1.847842
-4.3563504,17,1.847889
-4.091315,19,1.849862
-3.6606913,20,1.855149
-4.2933326,18,1.859639
-4.0334473,18,1.866974
-4.519464,18,1.869653
-3.8450007,19,1.869702
-4.336203,18,1.871411
-3.483314,20,1.874232
-4.243676,19,1.875602
-4.4296055,19,1.880814
-3.9005623,19,1.88423
-3.7242398,18,1.890744
-3.59088,18,1.892844
-3.88273,19,1.893862
-3.6280656,21,1.896778
-3.9919977,18,1.896816
-3.9953659,19,1.896826
-3.751112,19,1.90278
-3.87809,20,1.907018
-3.6623178,19,1.912156
-4.279398,18,1.91341
-3.8793402,20,1.917217
-4.2391934,19,1.92014
-3.9580882,19,1.920187
-3.9341826,19,1.920196
-3.7935185,18,1.925517
-4.091717,19,1.932199
-4.062135,18,1.935654
-3.7377262,19,1.938447
-4.267394,17,1.939544
-3.7981968,17,1.941523
-3.4711573,19,1.943873
-3.9073775,19,1.943898
-3.6494575,20,1.949145
-4.0733585,18,1.952952
-3.9734907,19,1.958024
-3.8574915,19,1.960686
-4.148979,18,1.960726
-4.054448,18,1.962905
-4.3543854,18,1.964998
-3.9203236,20,1.967698
-3.9291954,18,1.971436
-4.2675896,17,1.973353
-3.7342238,20,1.98195
-4.4015903,17,1.983361
-3.797583,19,1.983402
-3.7334747,19,1.98341
-3.7533169,19,1.989172
-4.2118554,17,1.989221
-3.996003,20,1.997276
-3.467011,19,1.998344
-3.7626173,18,2.008882
-3.8715186,20,2.010365
-3.4619474,19,2.010411
-3.9797454,20,2.011807
-3.7196,18,2.014085
-4.1181383,18,2.014111
-3.6433606,18,2.0228
-4.140475,19,2.022851
-4.3377123,19,2.032066
-4.0822616,18,2.032111
-4.61261,18,2.033432
-3.602298,20,2.034745
-4.668318,17,2.034771
-4.5017605,19,2.037031
-4.6863155,19,2.045639
-4.364305,19,2.045686
-3.870238,18,2.054501
-3.9799366,18,2.054541
-3.93078,19,2.056986
-3.7734141,20,2.060073
-3.4324875,20,2.060137
-4.0521774,20,2.063247
-3.7507732,18,2.069449
-4.1583147,19,2.070764
-4.1320634,18,2.078065
-4.471847,19,2.079636
-4.1252646,17,2.079674
-4.341919,17,2.082207
-3.902166,20,2.085818
-4.095671,19,2.087147
-4.2444606,17,2.091587
-4.0265765,19,2.092695
-4.227204,18,2.099855
-3.7904196,19,2.102447
-4.017188,19,2.102502
-3.7225807,19,2.105006
-4.029267,19,2.108146
-4.0478477,18,2.108187
-3.5956392,18,2.11281
-3.737185,20,2.11622
-4.4206653,18,2.121152
-3.7993011,18,2.123687
-4.07675,18,2.126622
-3.7456815,20,2.126665
-3.5592878,19,2.131391
-4.088884,19,2.131443
-4.035759,18,2.135305
-4.15719,19,2.140384
-3.897399,18,2.143796
-4.5598903,17,2.144988
-4.0142584,18,2.148937
-4.369803,19,2.150057
-4.018264,18,2.153605
-4.0758185,19,2.15487
-3.7999485,22,2.161153
-3.8194122,20,2.163859
-3.9138374,18,2.164958
-3.8302863,19,2.166937
-3.879425,19,2.171079
-3.7467065,19,2.172139
-4.0342665,18,2.174217
-4.1098466,19,2.176311
-4.2414613,19,2.183546
-4.190855,19,2.186215
-4.017553,18,2.189457
-3.9578872,20,2.189508
-3.7015579,19,2.195652
-3.8222375,20,2.19815
-3.6333108,18,2.198191
-4.4949355,18,2.200249
-3.5191693,19,2.208759
-4.318298,19,2.211355
-4.568425,18,2.212564
-4.03958,19,2.213847
-4.035961,19,2.217597
-4.155636,18,2.218979
-4.4040093,19,2.220312
-4.0969944,18,2.221756
-3.9558752,18,2.228894
-3.997769,18,2.230831
-4.0538025,18,2.231875
-3.8057775,20,2.235112
-4.0577574,18,2.237653
-3.9644136,18,2.23864
-4.268322,18,2.239602
-3.9355168,18,2.240734
-4.0579867,20,2.249466
-3.8902273,19,2.250409
-3.9572973,19,2.251709
-4.5299473,18,2.254475
-4.0870113,17,2.255966
-3.7655149,18,2.258749
-4.174135,18,2.261443
-4.043941,19,2.261478
-4.0727553,20,2.274795
-3.3652039,20,2.276211
-4.303077,21,2.278607
-4.53399,19,2.278635
-4.310688,18,2.278643
-4.407178,17,2.282165
-3.4455833,19,2.282191
-3.8041563,19,2.284414
-3.3790975,19,2.295569
-4.1471276,19,2.296707
-4.1223316,18,2.297753
-4.0526395,18,2.297772
-3.7079325,20,2.299711
-3.71347,19,2.302193
-4.4419365,19,2.302232
-4.1947103,18,2.303192
-3.782796,17,2.31469
-4.1426167,19,2.31593
-3.696757,19,2.318044
-4.069632,18,2.319171
-4.6281395,20,2.319198
-4.48654,18,2.32114
-3.7817466,19,2.322115
-3.7060394,19,2.323444
-3.7235434,18,2.336181
-4.1559978,20,2.339538
-4.1309047,17,2.339589
-4.605097,18,2.340536
-3.9498305,20,2.341509
-4.55999,18,2.342559
-4.311127,18,2.343494
-3.6811643,19,2.345426
-4.441016,19,2.356509
-3.9354513,19,2.360726
-3.759685,20,2.360771
-4.689962,18,2.36078
-3.7057893,20,2.360787
-4.2113204,18,2.362156
-4.0247316,17,2.364689
-3.961174,20,2.365824
-4.07389,20,2.381974
-4.222623,18,2.384033
-4.1114435,18,2.384072
-3.623694,19,2.385423
-4.318951,17,2.386849
-3.4870975,20,2.386877
-3.4609823,20,2.388025
-3.8526998,19,2.390397
-4.401593,18,2.404081
-4.3685503,18,2.406583
-4.271123,18,2.406622
-4.15529,18,2.407666
-3.4161274,19,2.410038
-4.002806,20,2.411018
-3.8192,17,2.411039
-4.5400944,20,2.412006
-4.1221266,19,2.423686
-3.9521384,18,2.424677
-4.5457063,19,2.425617
-3.5744152,18,2.428715
-3.909656,19,2.428745
-3.7844317,21,2.428754
-3.607457,19,2.429669
-3.2709627,19,2.430684
-4.2425075,19,2.442569
-4.1394553,19,2.443704
-4.254151,19,2.444689
-3.8569531,18,2.446623
-4.0222397,18,2.446649
-3.6944084,19,2.447573
-3.7182384,19,2.448539
-3.662072,19,2.44957
-3.9716845,18,2.46074
-4.2744384,18,2.462073
-4.3868637,19,2.464713
-4.0021315,18,2.466117
-4.1359754,19,2.467486
-4.26785,18,2.467511
-4.466374,19,2.469952
-3.7095692,19,2.471469
-3.776138,19,2.483499
-4.0085397,18,2.483552
-4.167833,18,2.485716
-4.2236443,19,2.487841
-3.926062,19,2.488901
-4.0463605,20,2.48993
-4.174632,18,2.490896
-4.4864655,19,2.49092
-3.835888,17,2.500025
-4.1721234,19,2.501877
-4.237573,19,2.503715
-4.3686547,17,2.505555
-4.2697864,18,2.505578
-3.5527642,19,2.505586
-3.9485192,19,2.508705
-3.9044342,19,2.508753
-4.0312247,18,2.516995
-3.820379,19,2.519782
-4.301374,19,2.521619
-3.8552437,18,2.522536
-3.9628353,18,2.522558
-4.2954464,19,2.523473
-3.7442956,17,2.524452
-4.076927,18,2.525426
-4.0451097,18,2.539918
-3.6211784,21,2.539974
-3.8167086,19,2.543645
-4.489646,19,2.544702
-4.0020823,18,2.544738
-4.3216476,20,2.545804
-4.6388445,18,2.545827
-3.7282374,18,2.546888
-3.8250437,18,2.558246
-4.5621614,19,2.559289
-4.0948577,18,2.562097
-4.329093,18,2.562129
-4.389229,19,2.56214
-3.8246531,18,2.563064
-4.4460454,18,2.563081
-3.901041,20,2.565786
-3.6022153,19,2.5771
-3.7908792,19,2.578304
-4.029007,18,2.58086
-3.4499602,18,2.580887
-3.5687397,19,2.582245
-3.8654847,18,2.58229
-3.7483263,21,2.587457
-3.6848025,20,2.590627
-4.00038,20,2.606191
-3.9600205,20,2.607599
-4.1868486,18,2.609111
-4.8009963,19,2.60914
-3.800786,20,2.610648
-3.6182857,19,2.610692
-3.8294709,18,2.613721
-4.4937625,18,2.615996
-4.0310254,17,2.630377
-3.8539152,18,2.630436
-4.591615,18,2.632291
-3.970795,18,2.633526
-3.6898627,20,2.634585
-4.3510675,20,2.635659
-4.39686,19,2.636615
-3.7941217,19,2.638636
-4.131092,18,2.649412
-4.0905886,19,2.650414
-4.3856883,18,2.651476
-4.1596556,19,2.653393
-3.6168828,18,2.653419
-3.8571343,18,2.654396
-4.220071,20,2.65828
-3.2461574,19,2.659362
-4.3314877,19,2.672948
-3.69268,19,2.675258
-3.7967005,21,2.676627
-4.2991915,19,2.67794
-3.8031263,19,2.67798
-3.63129,19,2.679315
-3.816778,18,2.681811
-3.7154138,19,2.684226
-3.8879051,19,2.695575
-3.6151628,17,2.695625
-4.133621,18,2.698423
-4.1439276,18,2.699816
-3.849279,18,2.699855
-4.329467,18,2.701344
-3.9421906,18,2.70386
-4.60139,17,2.705161
-3.6308522,19,2.718793
-4.1103325,21,2.720643
-4.1680284,19,2.720668
-3.7314801,19,2.721638
-4.199548,19,2.721662
-4.3831387,18,2.721672
-4.249863,17,2.723709
-4.137944,19,2.724744
-3.7530005,18,2.738336
-4.3442492,18,2.740616
-3.7695758,17,2.740659
-3.990105,18,2.741622
-4.135143,19,2.742715
-3.7216103,20,2.742751
-4.363466,19,2.745205
-4.0465126,19,2.746202
-4.3416753,18,2.759153
-4.4759703,18,2.762878
-3.6529095,19,2.762907
-3.9616354,18,2.764136
-4.3357224,20,2.764154
-3.7236056,20,2.766534
-3.8992515,18,2.766579
-4.065693,19,2.769292
-3.8754804,18,2.782095
-4.606604,19,2.787785
-3.9876778,20,2.789548
-3.8335807,19,2.78959
-4.161419,19,2.789599
-4.3802843,18,2.791131
-4.193117,19,2.79286
-3.9383197,19,2.795474
-3.5537205,19,2.807975
-4.3037043,18,2.812565
-4.2548523,18,2.813955
-4.312709,18,2.813984
-4.35313,18,2.816899
-3.6755383,19,2.816929
-3.9926975,20,2.816937
-3.421218,20,2.821746
-3.8373895,20,2.832358
-4.2093635,18,2.835168
-4.520781,19,2.835214
-3.945424,19,2.836667
-4.45067,20,2.840759
-4.2516427,20,2.840805
-4.20018,21,2.842218
-4.3483076,18,2.843601
-4.1643505,17,2.854266
-3.4217982,18,2.857105
-4.1003385,18,2.857137
-4.1178436,18,2.858172
-4.056754,19,2.861897
-4.049033,19,2.863068
-3.5852714,20,2.863107
-3.8973174,20,2.865381
-3.7745295,18,2.874216
-3.8161218,18,2.877696
-4.035333,19,2.878665
-3.7448308,19,2.879733
-4.233135,18,2.884162
-3.7246416,20,2.885184
-4.2136045,19,2.885221
-3.403822,18,2.886288
-3.7436652,19,2.906063
-3.7234564,18,2.915819
-4.1087847,18,2.919503
-4.1539135,19,2.919554
-4.1717296,17,2.923554
-3.9437494,19,2.9275
-3.915693,19,2.927559
-4.0623207,20,2.929858
-3.7224002,19,2.937905
-4.1776543,18,2.939113
-4.0831676,18,2.941182
-3.4277449,20,2.943297
-4.6182833,18,2.944353
-3.840452,18,2.947076
-4.38649,19,2.94802
-4.132155,18,2.949083
-3.7934847,18,2.956579
-4.263554,20,2.957586
-3.8538814,18,2.958499
-4.120326,18,2.960337
-4.689518,18,2.961259
-3.9042864,18,2.96464
-3.464549,21,2.966428
-4.1945896,20,2.96771
-3.7532778,19,2.97609
-4.1150093,18,2.977571
-4.1877003,19,2.977623
-4.1613197,17,2.978752
-3.9301414,18,2.980737
-3.7766821,19,2.985696
-3.9460635,18,2.98664
-4.157459,17,2.986655
-4.014794,19,2.995206
-4.185113,18,2.995249
-3.9612958,19,2.997041
-3.862652,20,2.997072
-3.9906716,19,2.999498
-4.3233757,18,3.004305
-3.9217234,19,3.0065
-4.678857,19,3.006543
-4.511596,19,3.016923
-4.0513234,19,3.016979
-3.7983258,18,3.018422
-4.2001457,18,3.018457
-4.189797,19,3.030093
-3.666843,18,3.034558
-4.3533516,18,3.037169
-3.9223576,18,3.037212
-4.050427,18,3.048849
-4.1439705,19,3.050313
-3.8764524,18,3.050351
-3.600478,19,3.051564
-4.1641808,18,3.054272
-3.5995436,18,3.05819
-4.16658,18,3.060934
-3.989528,18,3.060971
-4.2270126,18,3.072518
-4.062041,19,3.072571
-3.8202698,18,3.073833
-3.6705747,19,3.07386
-4.1829524,19,3.076797
-4.151509,19,3.080314
-4.0186787,19,3.082658
-3.720769,21,3.08463
-4.3339605,19,3.092536
-4.3324046,18,3.092582
-4.064383,19,3.092591
-3.9569826,19,3.093527
-3.8903446,19,3.096085
-3.78753,19,3.099585
-3.8637273,18,3.100703
-4.3715534,18,3.102934
-4.07563,18,3.113028
-4.2425303,18,3.114305
-4.162118,19,3.114343
-4.4151297,20,3.115474
-4.514646,18,3.11745
-4.581139,18,3.122523
-4.042061,19,3.122567
-3.8202066,19,3.125536
-4.0442944,17,3.132259
